,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
B1_1,B1_1,B1,GutM134,B1,RNA353,Gut,B01,M,2,134,1,EC,1,1,B1_CKDL240007483-1A_22553JLT4_L7.featureCounts
B6_1,B6_1,B6,LiverF134,B6,R18,Liver,I05,F,2,134,2,IG,1,1,B6_CKDL240007483-1A_22553JLT4_L7.featureCounts
B9_1,B9_1,B9,KidneyF134,B9,R243,Kidney,I05,F,2,134,1,EC,1,1,B9_CKDL240007483-1A_22553JLT4_L7.featureCounts
C13_1,C13_1,C13,MuscleM134,C13,RNA464,Muscle,B01,M,2,134,1,EC,1,1,C13_CKDL240007483-1A_22553JLT4_L7.featureCounts
C15_1,C15_1,C15,MuscleF134,C15,RNA496,Muscle,C04,F,2,134,2,EC,1,1,C15_CKDL240007483-1A_22553JLT4_L7.featureCounts
E23_1,E23_1,E23,GonadM103,E23,168,Testis,J_1A_25,M,1A,103,2,EC,1,1,E23_CKDL240007483-1A_22553JLT4_L7.featureCounts
D9_1,D9_1,D9,KidneyM134,D9,R245,Kidney,B01,M,2,134,1,EC,1,1,D9_CKDL240007483-1A_22553JLT4_L7.featureCounts
D24_1,D24_1,D24,GonadM133,D24,183,Testis,P_1B_2,M,1B,133,2,JC,1,1,D24_CKDL240007483-1A_22553JLT4_L7.featureCounts
E6_1,E6_1,E6,LiverF134,E6,R21,Liver,C04,F,2,134,2,IG,1,1,E6_CKDL240007483-1A_22553JLT4_L7.featureCounts
F17_1,F17_1,F17,SkinM134,F17,R82,Skin,B01,M,2,134,1,EC,1,1,F17_CKDL240007483-1A_22553JLT4_L7.featureCounts
G17_1,G17_1,G17,SkinF134,G17,R83,Skin,I05,F,2,134,1,EC,1,1,G17_CKDL240007483-1A_22553JLT4_L7.featureCounts
I9_1,I9_1,I9,KidneyM134,I9,R250,Kidney,D12,M,2,134,1,EC,1,1,I9_CKDL240007483-1A_22553JLT4_L7.featureCounts
J1_1,J1_1,J1,GutM134,J1,RNA361,Gut,D12,M,2,134,1,EC,1,1,J1_CKDL240007483-1A_22553JLT4_L7.featureCounts
J9_1,J9_1,J9,KidneyF134,J9,R251,Kidney,C04,F,2,134,1,EC,1,1,J9_CKDL240007483-1A_22553JLT4_L7.featureCounts
K1_1,K1_1,K1,GutF134,K1,RNA362,Gut,C04,F,2,134,1,EC,1,1,K1_CKDL240007483-1A_22553JLT4_L7.featureCounts
K14_1,K14_1,K14,MuscleF134,K14,RNA488,Muscle,I05,F,2,134,2,EC,1,1,K14_CKDL240007483-1A_22553JLT4_L7.featureCounts
