Sample	Unique Reads	Duplicate Reads
D6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4029493.0	5457006.0
D7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3584199.0	6064608.0
D7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3507305.0	6141502.0
D8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3270181.0	3434901.0
D8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3195561.0	3509521.0
D9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7078274.0	5565439.0
D9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6986850.0	5656863.0
E10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6835931.0	4376041.0
E10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6693762.0	4518210.0
E11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5378924.0	3219149.0
E11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5173960.0	3424113.0
E12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6854609.0	4738315.0
E12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6780664.0	4812260.0
E13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3775432.0	6287453.0
E13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3657535.0	6405350.0
E14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4184186.0	5747035.0
E14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4064523.0	5866698.0
E15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3717235.0	4893851.0
E15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3602769.0	5008317.0
E16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3415581.0	5249420.0
E16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3347086.0	5317915.0
E17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4940197.0	3892274.0
E17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4814859.0	4017612.0
E18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5937411.0	4260891.0
E18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5841332.0	4356970.0
E19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4848919.0	3738255.0
E19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4738652.0	3848522.0
E1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5272706.0	5400791.0
E1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5160240.0	5513257.0
E20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4327912.0	2509034.0
E20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4225670.0	2611276.0
E21_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6644210.0	3673185.0
E21_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6547171.0	3770224.0
E23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	9453983.0	5423687.0
E23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	9333382.0	5544288.0
E24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4715688.0	2184363.0
E24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4654334.0	2245717.0
E2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3992107.0	3494421.0
E2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3930256.0	3556272.0
E3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4992439.0	4765803.0
E3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4774563.0	4983679.0
E4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5685871.0	5771305.0
E4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5561512.0	5895664.0
E5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4516907.0	5936127.0
E5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4391324.0	6061710.0
E6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3950287.0	6014703.0
E6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3882337.0	6082653.0
E7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3823177.0	3654764.0
E7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3753107.0	3724834.0
E8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3309924.0	5008110.0
E8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3195062.0	5122972.0
E9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4711146.0	3197055.0
E9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4633607.0	3274594.0
F10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5753342.0	3697710.0
F10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5668695.0	3782357.0
F11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4491982.0	2765360.0
F11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4442745.0	2814597.0
F12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4664021.0	2809452.0
F12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4595087.0	2878386.0
F13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4648732.0	6949836.0
F13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4410433.0	7188135.0
F14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3454934.0	4634864.0
F14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3398271.0	4691527.0
F15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4531505.0	7377642.0
F15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4468494.0	7440653.0
F16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	2147686.0	3300499.0
F16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	2102950.0	3345235.0
F17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6274856.0	4474488.0
F17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6065726.0	4683618.0
F18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5480352.0	4062364.0
F18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5397058.0	4145658.0
F19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5359395.0	3694192.0
F19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5267928.0	3785659.0
F1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4866881.0	4365451.0
F1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4683837.0	4548495.0
F20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4423672.0	2573415.0
F20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4351739.0	2645348.0
F23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	9436000.0	5854380.0
F23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	9292873.0	5997507.0
F24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5513375.0	2985265.0
F24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5365953.0	3132687.0
F2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3862310.0	3117999.0
F2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3793614.0	3186695.0
F3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4929608.0	4754413.0
F3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4796863.0	4887158.0
F4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4110444.0	3391565.0
F4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4036531.0	3465478.0
F5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3593386.0	4253562.0
F5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3528553.0	4318395.0
F6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3956423.0	4643615.0
F6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3857237.0	4742801.0
F7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3869620.0	4359322.0
F7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3777290.0	4451652.0
F8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3702014.0	4403706.0
F8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3610484.0	4495236.0
F9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7126154.0	4651305.0
F9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6929511.0	4847948.0
G10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6205837.0	4104441.0
G10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6121649.0	4188629.0
G11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4930154.0	3262423.0
G11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4797939.0	3394638.0
G12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6135452.0	4480409.0
G12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6048387.0	4567474.0
G13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3329440.0	4692298.0
G13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3264597.0	4757141.0
G14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4460941.0	6516607.0
G14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4316761.0	6660787.0
G15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3250353.0	5454309.0
G15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3156958.0	5547704.0
G16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3536108.0	5489683.0
G16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3502837.0	5522954.0
G17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5568732.0	3862526.0
G17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5359410.0	4071848.0
G18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5097216.0	3457979.0
G18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5001566.0	3553629.0
G19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5968158.0	4062135.0
G19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5797123.0	4233170.0
G1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5028514.0	4634781.0
G1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4980902.0	4682393.0
G20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4507009.0	3039348.0
G20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4434684.0	3111673.0
G21_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6949018.0	3848820.0
G21_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6866555.0	3931283.0
G23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7583700.0	4812379.0
G23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	7115836.0	5280243.0
G24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6543909.0	3435092.0
G24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6468768.0	3510233.0
G2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3975362.0	3350500.0
G2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3867089.0	3458773.0
G3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4764788.0	4438955.0
