Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
E23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4313576	8647645	0	66.4867089934577	45356	13006577	0	0	0	0	0	0	0
E24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5636931	9681117	0	62.95829390223029	58984	15377032	0	0	0	0	0	0	0
E2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2260774	10945364	0	82.5637558448028	50725	13256863	0	0	0	0	0	0	0
E3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2817242	11591679	0	80.04230234054953	73020	14481941	0	0	0	0	0	0	0
E4_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2874231	11413061	0	79.51953955973178	65232	14352524	0	0	0	0	0	0	0
E5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1680135	11172446	0	86.73858622214269	28014	12880595	0	0	0	0	0	0	0
E6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2032560	10104716	0	83.05577567849764	28905	12166181	0	0	0	0	0	0	0
E7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3142721	3677347	0	53.83405947070171	10825	6830893	0	0	0	0	0	0	0
E8_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2939877	6480416	0	68.63397710271792	21701	9441994	0	0	0	0	0	0	0
E9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4614504	15439558	0	76.53721262527378	118554	20172616	0	0	0	0	0	0	0
F10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4408704	11836894	0	72.39071546053738	105800	16351398	0	0	0	0	0	0	0
F11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4076542	12133618	0	74.3775769616692	103383	16313543	0	0	0	0	0	0	0
F12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2839795	9285541	0	76.04829559368187	84722	12210058	0	0	0	0	0	0	0
F13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5444670	11608116	0	67.84049577769018	58109	17110895	0	0	0	0	0	0	0
F14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3970243	9400702	0	70.07675963021318	43919	13414864	0	0	0	0	0	0	0
F15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5192426	8897527	0	62.96202914664295	41623	14131576	0	0	0	0	0	0	0
