Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
D4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15265407	0	0	0	0	0	2635223	0	84.98256442539316	17962987	62357
D5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16070649	0	0	0	0	0	2428548	0	86.56568319381398	18564688	65491
D6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14002266	0	0	0	0	0	1991797	0	87.24158706640938	16049990	55927
D7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13814402	0	0	0	0	0	1547586	0	89.59649220548118	15418463	56475
D8_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9514163	0	0	0	0	0	1573762	0	85.48750087943513	11129303	41378
D9_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15469602	0	0	0	0	0	5331476	0	73.99055536721305	20907536	106458
E10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15004441	0	0	0	0	0	3952345	0	78.79610919147663	19042109	85323
E11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11970690	0	0	0	0	0	2608797	0	81.7338456937554	14645940	66453
E12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15672836	0	0	0	0	0	3860925	0	79.83962423991608	19630398	96637
E13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12700188	0	0	0	0	0	3768206	0	76.81274177511014	16533960	65566
E14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13833061	0	0	0	0	0	2727886	0	83.10747780761362	16644785	83838
E15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9997849	0	0	0	0	0	3860253	0	71.8381658127223	13917183	59081
E16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11547975	0	0	0	0	0	2711926	0	80.63170342383147	14321879	61978
E17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9737947	0	0	0	0	0	3952318	0	70.56802423529875	13799376	109111
E18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13333463	0	0	0	0	0	3633415	0	78.12505328320957	17066821	99943
E19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	8930058	0	0	0	0	0	4136690	0	67.8024142665679	13170708	103960
E1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15415801	0	0	0	0	0	3137358	0	82.7886260836409	18620675	67516
E20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9482079	0	0	0	0	0	2212468	0	80.58749168804997	11766192	71645
E21_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13729466	0	0	0	0	0	2694065	0	83.12815481498453	16516024	92493
E23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	21184629	0	0	0	0	0	3613117	0	84.96457614988744	24933484	135738
E24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9418252	0	0	0	0	0	1681494	0	84.37861889747386	11161894	62148
E2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10948616	0	0	0	0	0	2088399	0	83.68479146591562	13083161	46146
E3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14671218	0	0	0	0	0	2464736	0	85.33448281999432	17192602	56648
E4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16611082	0	0	0	0	0	3323884	0	83.05030240640201	20001230	66264
E5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14934682	0	0	0	0	0	2372323	0	85.92702301604461	17380658	73653
E6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14692970	0	0	0	0	0	1522813	0	90.24815498562955	16280632	64849
E7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9969657	0	0	0	0	0	2142886	0	81.97525051618639	12161789	49246
E8_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11565993	0	0	0	0	0	1502463	0	88.10477420605103	13127544	59088
E9_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10071279	0	0	0	0	0	3104859	0	76.04592530172883	13243680	67542
F10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13016118	0	0	0	0	0	3330387	0	79.25368982069989	16423359	76854
F11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9475947	0	0	0	0	0	2621900	0	77.93733526845351	12158418	60571
F12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9871025	0	0	0	0	0	2479770	0	79.5506571837946	12408477	57682
F13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14877380	0	0	0	0	0	4054580	0	78.20879980814442	19022642	90682
F14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10666140	0	0	0	0	0	2523359	0	80.46697087701207	13255302	65803
F15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14598838	0	0	0	0	0	5015538	0	74.07869844124491	19707201	92825
F16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	7803685	0	0	0	0	0	1187003	0	86.4476917180123	9027060	36372
F17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14019353	0	0	0	0	0	3792216	0	78.20884443386736	17925534	113965
F18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12682337	0	0	0	0	0	3206109	0	79.40111164863244	15972493	84047
F19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11350498	0	0	0	0	0	3286930	0	77.11756039279992	14718435	81007
F1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13321296	0	0	0	0	0	2552580	0	83.6119247626142	15932292	58416
F20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9722351	0	0	0	0	0	2128901	0	81.63426365773287	11909645	58393
