Sample	Unique Reads	Duplicate Reads
I19_ME_1_val_1	4403105.0	3647279.0
I19_ME_2_val_2	4215802.0	3834582.0
I1_ME_1_val_1	7161775.0	8043191.0
I1_ME_2_val_2	7022887.0	8182079.0
I20_ME_1_val_1	6321643.0	7737060.0
I20_ME_2_val_2	6068209.0	7990494.0
I21_ME_1_val_1	11631886.0	7167981.0
I21_ME_2_val_2	11398777.0	7401090.0
I22_ME_1_val_1	12416736.0	8422082.0
I22_ME_2_val_2	12284512.0	8554306.0
I23_ME_1_val_1	11854997.0	7868191.0
I23_ME_2_val_2	11538305.0	8184883.0
I2_ME_1_val_1	7851043.0	8157579.0
I2_ME_2_val_2	7669761.0	8338861.0
I3_ME_1_val_1	10613739.0	10563076.0
I3_ME_2_val_2	10282569.0	10894246.0
I4_ME_1_val_1	8131710.0	8236237.0
I4_ME_2_val_2	7911042.0	8456905.0
I5_ME_1_val_1	6896367.0	11619487.0
I5_ME_2_val_2	6735760.0	11780094.0
I6_ME_1_val_1	3280426.0	11406662.0
I6_ME_2_val_2	3210203.0	11476885.0
I7_ME_1_val_1	8984568.0	11873730.0
I7_ME_2_val_2	8770222.0	12088076.0
I8_ME_1_val_1	6885374.0	8012122.0
I8_ME_2_val_2	6775955.0	8121541.0
I9_ME_1_val_1	8605369.0	7115927.0
I9_ME_2_val_2	8365708.0	7355588.0
J10_ME_1_val_1	9871142.0	9234910.0
J10_ME_2_val_2	9589346.0	9516706.0
J11_ME_1_val_1	9237431.0	7671722.0
J11_ME_2_val_2	9079302.0	7829851.0
J12_ME_1_val_1	6309285.0	5067482.0
J12_ME_2_val_2	6229353.0	5147414.0
J13_ME_1_val_1	7217494.0	7764497.0
J13_ME_2_val_2	7042866.0	7939125.0
J14_ME_1_val_1	9260269.0	9150026.0
J14_ME_2_val_2	9068821.0	9341474.0
J15_ME_1_val_1	6740962.0	7633094.0
J15_ME_2_val_2	6578140.0	7795916.0
J16_ME_1_val_1	8048546.0	7516891.0
J16_ME_2_val_2	7835204.0	7730233.0
J17_ME_1_val_1	9446959.0	7841694.0
J17_ME_2_val_2	9321301.0	7967352.0
J18_ME_1_val_1	8644527.0	6578426.0
J18_ME_2_val_2	8433514.0	6789439.0
J19_ME_1_val_1	10151082.0	6334229.0
J19_ME_2_val_2	9924534.0	6560777.0
J1_ME_1_val_1	8999856.0	9062118.0
J1_ME_2_val_2	8770792.0	9291182.0
J20_ME_1_val_1	7717530.0	7843259.0
J20_ME_2_val_2	7605445.0	7955344.0
J21_ME_1_val_1	10789928.0	6617633.0
J21_ME_2_val_2	10582063.0	6825498.0
J22_ME_1_val_1	13415710.0	9188886.0
J22_ME_2_val_2	13180625.0	9423971.0
J23_ME_1_val_1	10754661.0	6538540.0
J23_ME_2_val_2	10600794.0	6692407.0
J2_ME_1_val_1	9468588.0	6830011.0
J2_ME_2_val_2	9289844.0	7008755.0
J3_ME_1_val_1	9801311.0	8851094.0
J3_ME_2_val_2	9578983.0	9073422.0
J4_ME_1_val_1	5951422.0	6734829.0
J4_ME_2_val_2	5787375.0	6898876.0
J5_ME_1_val_1	5417855.0	10055029.0
J5_ME_2_val_2	5279423.0	10193461.0
J6_ME_1_val_1	6958541.0	12081117.0
J6_ME_2_val_2	6730064.0	12309594.0
J7_ME_1_val_1	5807594.0	10717886.0
J7_ME_2_val_2	5622991.0	10902489.0
J8_ME_1_val_1	6846682.0	7924433.0
J8_ME_2_val_2	6682858.0	8088257.0
J9_ME_1_val_1	11137989.0	9925126.0
J9_ME_2_val_2	10768493.0	10294622.0
K10_ME_1_val_1	10845695.0	8076408.0
K10_ME_2_val_2	10516606.0	8405497.0
K11_ME_1_val_1	11566896.0	10174580.0
K11_ME_2_val_2	11404957.0	10336519.0
K12_ME_1_val_1	3881154.0	4641972.0
K12_ME_2_val_2	3802288.0	4720838.0
K13_ME_1_val_1	9149229.0	9118375.0
K13_ME_2_val_2	8844997.0	9422607.0
K14_ME_1_val_1	7850460.0	8570103.0
K14_ME_2_val_2	7631352.0	8789211.0
K15_ME_1_val_1	8505378.0	8912152.0
K15_ME_2_val_2	8447856.0	8969674.0
K16_ME_1_val_1	7530471.0	9055959.0
K16_ME_2_val_2	7051167.0	9535263.0
