Sample	Duplicate Reads	Unique Reads
E24_CKDL240007483-1A_22553JLT4_L7_2_val_2	2344327.0	4658022.0
E2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3600929.0	3973525.0
E2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3702699.0	3871755.0
E3_CKDL240007483-1A_22553JLT4_L7_1_val_1	5051594.0	5049565.0
E3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5272542.0	4828617.0
E4_CKDL240007483-1A_22553JLT4_L7_1_val_1	6058998.0	5707645.0
E4_CKDL240007483-1A_22553JLT4_L7_2_val_2	6224614.0	5542029.0
E5_CKDL240007483-1A_22553JLT4_L7_1_val_1	6275751.0	4608017.0
E5_CKDL240007483-1A_22553JLT4_L7_2_val_2	6470910.0	4412858.0
E6_CKDL240007483-1A_22553JLT4_L7_1_val_1	6263655.0	3907320.0
E6_CKDL240007483-1A_22553JLT4_L7_2_val_2	6402096.0	3768879.0
E7_CKDL240007483-1A_22553JLT4_L7_1_val_1	3749747.0	3809163.0
E7_CKDL240007483-1A_22553JLT4_L7_2_val_2	3866649.0	3692261.0
E8_CKDL240007483-1A_22553JLT4_L7_1_val_1	5248731.0	3317168.0
E8_CKDL240007483-1A_22553JLT4_L7_2_val_2	5410243.0	3155656.0
E9_CKDL240007483-1A_22553JLT4_L7_1_val_1	3268320.0	4711040.0
E9_CKDL240007483-1A_22553JLT4_L7_2_val_2	3378328.0	4601032.0
F10_CKDL240007483-1A_22553JLT4_L7_1_val_1	3760107.0	5758810.0
F10_CKDL240007483-1A_22553JLT4_L7_2_val_2	3907397.0	5611520.0
F11_CKDL240007483-1A_22553JLT4_L7_1_val_1	2861744.0	4512254.0
F11_CKDL240007483-1A_22553JLT4_L7_2_val_2	2953630.0	4420368.0
F12_CKDL240007483-1A_22553JLT4_L7_1_val_1	2880184.0	4709576.0
F12_CKDL240007483-1A_22553JLT4_L7_2_val_2	3000566.0	4589194.0
F13_CKDL240007483-1A_22553JLT4_L7_1_val_1	7361811.0	4635163.0
F13_CKDL240007483-1A_22553JLT4_L7_2_val_2	7624955.0	4372019.0
F14_CKDL240007483-1A_22553JLT4_L7_1_val_1	4785135.0	3429929.0
F14_CKDL240007483-1A_22553JLT4_L7_2_val_2	4910452.0	3304612.0
F15_CKDL240007483-1A_22553JLT4_L7_1_val_1	7755057.0	4523673.0
F15_CKDL240007483-1A_22553JLT4_L7_2_val_2	7891568.0	4387162.0
F16_CKDL240007483-1A_22553JLT4_L7_1_val_1	3439799.0	2122590.0
F16_CKDL240007483-1A_22553JLT4_L7_2_val_2	3523760.0	2038629.0
F17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4790028.0	6389425.0
F17_CKDL240007483-1A_22553JLT4_L7_2_val_2	5018574.0	6160879.0
F18_CKDL240007483-1A_22553JLT4_L7_1_val_1	4145472.0	5462054.0
F18_CKDL240007483-1A_22553JLT4_L7_2_val_2	4303590.0	5303936.0
F19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3899035.0	5450767.0
F19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4047337.0	5302465.0
F1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4562145.0	4822213.0
F1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4756756.0	4627602.0
F20_CKDL240007483-1A_22553JLT4_L7_1_val_1	2647893.0	4447860.0
F20_CKDL240007483-1A_22553JLT4_L7_2_val_2	2752583.0	4343170.0
F23_CKDL240007483-1A_22553JLT4_L7_1_val_1	5978809.0	9351706.0
F23_CKDL240007483-1A_22553JLT4_L7_2_val_2	6230632.0	9099883.0
F24_CKDL240007483-1A_22553JLT4_L7_1_val_1	3186523.0	5552605.0
F24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3345229.0	5393899.0
F2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3218368.0	3859619.0
F2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3328555.0	3749432.0
F3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4983718.0	4933409.0
F3_CKDL240007483-1A_22553JLT4_L7_2_val_2	5164869.0	4752258.0
F4_CKDL240007483-1A_22553JLT4_L7_1_val_1	3508221.0	4089983.0
F4_CKDL240007483-1A_22553JLT4_L7_2_val_2	3612327.0	3985877.0
F5_CKDL240007483-1A_22553JLT4_L7_1_val_1	4344670.0	3521019.0
F5_CKDL240007483-1A_22553JLT4_L7_2_val_2	4449624.0	3416065.0
F6_CKDL240007483-1A_22553JLT4_L7_1_val_1	4826821.0	3950873.0
F6_CKDL240007483-1A_22553JLT4_L7_2_val_2	4978201.0	3799493.0
F7_CKDL240007483-1A_22553JLT4_L7_1_val_1	4574951.0	3878228.0
F7_CKDL240007483-1A_22553JLT4_L7_2_val_2	4715760.0	3737419.0
F8_CKDL240007483-1A_22553JLT4_L7_1_val_1	4658964.0	3743464.0
F8_CKDL240007483-1A_22553JLT4_L7_2_val_2	4798659.0	3603769.0
F9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4828586.0	7179681.0
F9_CKDL240007483-1A_22553JLT4_L7_2_val_2	5033220.0	6975047.0
G10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4214277.0	6230386.0
G10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4354062.0	6090601.0
G11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3350222.0	4876092.0
