,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
J10_1,J-1B-6,F,1B,133,1/31/22,9/20/21,Kidney,NA,3/4/23,1,JC,R267,1,J10,J10,J10_1,,,
J11_1,E04,M,2,102,6/24/22,3/14/22,Kidney,NA,3/4/23,2,JC,R283,1,J11,J11,J11_1,,,
J13_1,E02,F,2,78,5/31/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA471,1,J13,J13,J13_1,,,
J14_1,J-1B-6,F,1B,133,1/31/22,9/20/21,Muscle,NA,3/17/23,2,EC,RNA487,1,J14,J14,J14_1,,,
J15_1,P_1B_11,M,1B,147,2/14/22,9/20/21,Muscle,NA,3/27/23,3,EC,RNA503,1,J15,J15,J15_1,,,
J17_1,E02,F,2,78,5/31/22,3/14/22,Skin,NA,2/8/23,1,EC,R86,1,J17,J17,J17_1,,,
J18_1,J_04,M,2,162,8/23/22,3/14/22,Skin,NA,2/8/23,2,IG,R102,1,J18,J18,J18_1,,,
J19_1,J-1B-18,F,1B,133,1/31/22,9/20/21,Skin,NA,2/8/23,2,EC,R118,1,J19,J19,J19_1,,,
J2_1,J-1B-18,F,1B,133,1/31/22,9/20/21,Gut,NA,3/8/23,1,JC,RNA377,1,J2,J2,J2_1,,,
J21_1,J_04,M,2,162,8/23/22,3/14/22,Testis,NA,2/10/23,1,EC,141,1,J21,J21,J21_1,,,
J22_1,E_01,M,2,52,5/5/22,3/14/22,Testis,NA,2/24/23,2,EC,157,1,J22,J22,J22_1,,,
J23_1,P_1A_12,F,1A,75,11/22/21,9/8/21,Ovary,NA,2/24/23,2,JC,173,1,J23,J23,J23_1,,,
J3_1,J_1B_13,M,1B,77,12/6/21,9/20/21,Gut,NA,3/9/23,2,EC,RNA393,1,J3,J3,J3_1,,,
J5_1,A17,M,2,78,5/31/22,3/14/22,Liver,NA,1/30/23,2,EC,R10,1,J5,J5,J5_1,,,
J6_1,J_1B_12,M,1B,49,11/8/21,9/20/21,Liver,NA,3/21/22,1,EC,RNA667,1,J6,J6,J6_1,1,3,low read count
J7_1,J_1B_2,M,1B,49,11/8/21,9/20/21,Liver,NA,3/21/22,1,IG,RNA683,1,J7,J7,J7_1,,,
J9_1,C04,F,2,134,7/26/22,3/14/22,Kidney,NA,3/4/23,1,EC,R251,1,J9,J9,J9_1,,,
K1_1,C04,F,2,134,7/26/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA362,1,K1,K1,K1_1,,,
K10_1,P_1B_1,F,1B,77,12/6/21,9/20/21,Kidney,NA,3/4/23,1,JC,R268,1,K10,K10,K10_1,,,
K11_1,D_14,F,2,52,5/5/22,3/14/22,Kidney,NA,3/4/23,2,EC,R284,1,K11,K11,K11_1,,,
K13_1,C1,F,2,155,8/16/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA472,1,K13,K13,K13_1,,,
K14_1,I05,F,2,134,7/26/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA488,1,K14,K14,K14_1,,,
K15_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Muscle,NA,3/27/23,3,EC,RNA504,1,K15,K15,K15_1,,,
K17_1,A06,F,2,102,6/24/22,3/14/22,Skin,NA,2/8/23,1,EC,R87,1,K17,K17,K17_1,,,
K18_1,D12,M,2,134,7/26/22,3/14/22,Skin,NA,2/8/23,2,IG,R103,1,K18,K18,K18_1,,,
K19_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Skin,NA,2/8/23,2,EC,R119,1,K19,K19,K19_1,,,
K2_1,J_1A_13,M,1A,75,11/22/21,9/8/21,Gut,NA,3/8/23,1,JC,RNA378,1,K2,K2,K2_1,,,
K21_1,I_03,M,2,162,8/23/22,3/14/22,Testis,NA,2/10/23,1,EC,142,1,K21,K21,K21_1,,,
K22_1,D_05,M,2,162,8/23/22,3/14/22,Testis,NA,2/24/23,2,EC,158,1,K22,K22,K22_1,,,
K23_1,P_1A_4,M,1A,133,1/19/22,9/8/21,Testis,NA,2/24/23,2,JC,174,1,K23,K23,K23_1,,,
K3_1,P_1B_9,F,1B,49,11/8/21,9/20/21,Gut,NA,3/9/23,2,EC,RNA394,1,K3,K3,K3_1,,,
K5_1,D12,M,2,134,7/26/22,3/14/22,Liver,NA,1/30/23,2,EC,R11,1,K5,K5,K5_1,,,
K6_1,P_1A_12,F,1A,75,11/22/21,9/8/21,Liver,NA,3/21/22,1,EC,RNA668,1,K6,K6,K6_1,,,
K7_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Liver,NA,3/21/22,1,IG,RNA684,1,K7,K7,K7_1,,,
K9_1,H_02,M,2,52,5/5/22,3/14/22,Kidney,NA,3/4/23,1,EC,R252,1,K9,K9,K9_1,,,
L1_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Gut,NA,3/8/23,1,EC,RNA363,1,L1,L1,L1_1,,,
L10_1,J_1A_24,F,1A,47,10/25/21,9/8/21,Kidney,NA,3/4/23,1,JC,R269,1,L10,L10,L10_1,,,
L11_1,P_1B_11,M,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,2,EC,R285,1,L11,L11,L11_1,,,
L13_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Muscle,NA,3/15/23,1,EC,RNA473,1,L13,L13,L13_1,,,
L14_1,D_14,F,2,52,5/5/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA489,1,L14,L14,L14_1,,,
L15_1,J_1A_14,M,1A,75,11/22/21,9/8/21,Muscle,NA,3/27/23,3,EC,RNA505,1,L15,L15,L15_1,,,
L17_1,A01,M,2,78,5/31/22,3/14/22,Skin,NA,2/8/23,1,EC,R88,1,L17,L17,L17_1,,,
L18_1,J05,F,2,102,6/24/22,3/14/22,Skin,NA,2/8/23,2,IG,R104,1,L18,L18,L18_1,,,
L19_1,J_1B_5,F,1B,49,11/8/21,9/20/21,Skin,NA,2/8/23,2,EC,R120,1,L19,L19,L19_1,,,
L2_1,C1,F,2,155,8/16/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA379,1,L2,L2,L2_1,,,
L21_1,F05,M,2,102,6/24/22,3/14/22,Testis,NA,2/10/23,1,EC,143,1,L21,L21,L21_1,1,2,bad RNA quality after thaw
L22_1,A17,M,2,78,5/31/22,3/14/22,Testis,NA,2/24/23,2,EC,159,1,L22,L22,L22_1,,,
L23_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Testis,NA,2/24/23,2,JC,175,1,L23,L23,L23_1,,,
L3_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Gut,NA,3/9/23,2,EC,RNA395,1,L3,L3,L3_1,,,
L5_1,C1,F,2,155,8/16/22,3/14/22,Liver,NA,1/30/23,2,IG,R12,1,L5,L5,L5_1,,,
L6_1,J_1A_13,M,1A,75,11/22/21,9/8/21,Liver,NA,3/21/22,1,EC,RNA669,1,L6,L6,L6_1,,,
L7_1,J_1A_14,M,1A,75,11/22/21,9/8/21,Liver,NA,3/21/22,1,IG,RNA685,1,L7,L7,L7_1,,,
L9_1,A17,M,2,78,5/31/22,3/14/22,Kidney,NA,3/4/23,1,EC,R253,1,L9,L9,L9_1,,,
M1_1,P_1A_3,M,1A,152,2/7/22,9/8/21,Gut,NA,3/8/23,1,EC,RNA364,1,M1,M1,M1_1,,,
M10_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Kidney,NA,3/4/23,2,JC,R270,1,M10,M10,M10_1,,,
M11_1,J_1B_12,M,1B,49,11/8/21,9/20/21,Kidney,NA,3/4/23,2,EC,R286,1,M11,M11,M11_1,,,
M13_1,J_1A_17,M,1A,47,10/25/21,9/8/21,Muscle,NA,3/15/23,1,EC,RNA474,1,M13,M13,M13_1,,,
M14_1,F05,M,2,102,6/24/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA490,1,M14,M14,M14_1,,,
M15_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Muscle,NA,3/27/23,3,EC,RNA506,1,M15,M15,M15_1,,,
M17_1,P_1A_4,M,1A,133,1/19/22,9/8/21,Skin,NA,2/8/23,1,IG,R89,1,M17,M17,M17_1,,,
M18_1,J9,F,2,155,8/16/22,3/14/22,Skin,NA,2/8/23,2,IG,R105,1,M18,M18,M18_1,,,
M19_1,J_1B_13,M,1B,77,12/6/21,9/20/21,Skin,NA,2/8/23,2,EC,R121,1,M19,M19,M19_1,,,
M2_1,E02,F,2,78,5/31/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA380,1,M2,M2,M2_1,,,
M21_1,P_1B_9,F,1B,49,11/8/21,9/20/21,Ovary,NA,2/10/23,1,IG,148,1,M21,M21,M21_1,,,
M22_1,A06,F,2,102,6/24/22,3/14/22,Ovary,NA,2/24/23,2,EC,160,1,M22,M22,M22_1,,,
M23_1,J_1B_2,M,1B,49,11/8/21,9/20/21,Testis,NA,2/24/23,2,JC,176,1,M23,M23,M23_1,,,
M3_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Gut,NA,3/9/23,2,EC,RNA396,1,M3,M3,M3_1,,,
M5_1,J9,F,2,155,8/16/22,3/14/22,Liver,NA,1/30/23,2,IG,R13,1,M5,M5,M5_1,,,
M6_1,P_1B_1,F,1B,7,12/6/21,9/20/21,Liver,NA,3/21/22,1,EC,RNA670,1,M6,M6,M6_1,,,
M7_1,P_1B_3,F,1B,77,12/6/21,9/20/21,Liver,NA,3/21/22,1,IG,RNA686,1,M7,M7,M7_1,,,
M9_1,C1,F,2,155,8/16/22,3/14/22,Kidney,NA,3/4/23,1,EC,R254,1,M9,M9,M9_1,,,
N1_1,P_1B_1,F,1B,77,12/6/21,9/20/21,Gut,NA,3/8/23,1,EC,RNA365,1,N1,N1,N1_1,,,
N10_1,J_1A_1,M,1A,152,2/7/22,9/8/21,Kidney,NA,3/4/23,2,JC,R271,1,N10,N10,N10_1,,,
N11_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Kidney,NA,3/4/23,2,EC,R287,1,N11,N11,N11_1,,,
N13_1,J_1A_25,M,1A,103,12/20/21,9/8/21,Muscle,NA,3/15/23,1,EC,RNA475,1,N13,N13,N13_1,,,
N14_1,I_03,M,2,162,8/23/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA491,1,N14,N14,N14_1,,,
N15_1,P_1B_1,F,1B,77,12/6/21,9/20/21,Muscle,NA,3/27/23,3,EC,RNA507,1,N15,N15,N15_1,,,
N17_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Skin,NA,2/8/23,1,IG,R90,1,N17,N17,N17_1,,,
N18_1,E04,M,2,102,6/24/22,3/14/22,Skin,NA,2/8/23,2,IG,R106,1,N18,N18,N18_1,,,
N19_1,P_1B_1,F,1B,77,12/6/21,9/20/21,Skin,NA,2/8/23,2,EC,R122,1,N19,N19,N19_1,,,
N2_1,F05,M,2,102,6/24/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA381,1,N2,N2,N2_1,,,
N21_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Testis,NA,2/10/23,1,IG,149,1,N21,N21,N21_1,,,
N22_1,C04,F,2,134,7/26/22,3/14/22,Ovary,NA,2/24/23,2,EC,161,1,N22,N22,N22_1,,,
N23_1,J_1B_12,M,1B,49,11/8/21,9/20/21,Testis,NA,2/24/23,2,JC,177,1,N23,N23,N23_1,,,
N3_1,J_1A_24,F,1A,47,10/25/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA397,1,N3,N3,N3_1,,,
N5_1,A06,F,2,102,6/24/22,3/14/22,Liver,NA,1/30/23,2,IG,R14,1,N5,N5,N5_1,,,
N6_1,J_1B_13,M,1B,77,12/6/21,9/20/21,Liver,NA,3/21/22,1,EC,RNA671,1,N6,N6,N6_1,,,
N7_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Liver,NA,3/21/22,1,IG,RNA687,1,N7,N7,N7_1,,,
