,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
E16_2,J_1B_5,F,1B,49,11/8/21,9/20/21,Heart,NA,3/3/23,2,EC,R239,2,E16,E16,E16_2,,,
E17_2,I_03,M,2,162,8/23/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA301,2,E17,E17,E17_2,,,
E18_2,J_1B_12,M,1B,49,11/8/21,9/20/21,Spleen,NA,3/6/23,1,JC,RNA317,2,E18,E18,E18_2,,,
E19_2,C04,F,2,134,7/26/22,3/14/22,Spleen,NA,3/6/23,2,EC,RNA333,2,E19,E19,E19_2,,,
E2_2,P_1A_1,F,1A,47,10/25/21,9/8/21,Bone,4/26/23,4/22/23,2,EC,RNA594,2,E2,E2,E2_2,,,
E20_2,J_1B_5,F,1B,49,11/8/21,9/20/21,Spleen,NA,3/6/23,2,EC,RNA349,2,E20,E20,E20_2,,,
E21_2,J05,F,2,102,6/24/22,3/14/22,Brain,NA,1/31/23,1,IG,R27,2,E21,E21,E21_2,,,
E22_2,P_1B_3,F,1B,77,12/6/21,9/20/21,Brain,NA,1/31/23,1,EC,R43,2,E22,E22,E22_2,,,
E23_2,P_1A_10,M,1A,103,12/20/21,9/8/21,Brain,NA,2/1/23,2,EC,R59,2,E23,E23,E23_2,,,
E24_2,J_1B_11,M,1B,161,2/28/22,9/20/21,Brain,NA,2/1/23,2,IG,R75,2,E24,E24,E24_2,,,
E3_2,J_1A_13,M,1A,75,11/22/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA610,2,E3,E3,E3_2,,,
E4_2,P_1A_10,M,1A,103,12/20/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA626,2,E4,E4,E4_2,,,
E5_2,C1,F,2,155,8/16/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA521,2,E5,E5,E5_2,,,
E6_2,J_1A_17,M,1A,47,10/25/21,9/8/21,Fat,4/12/23,4/17/23,2,EC,RNA537,2,E6,E6,E6_2,,,
E7_2,B01,M,2,134,7/26/22,3/14/22,Fat,4/12/23,4/19/23,3,EC,RNA553,2,E7,E7,E7_2,,,
E8_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Fat,4/13/23,4/19/23,3,EC,RNA571,2,E8,E8,E8_2,,,
E9_2,E04,M,2,102,6/24/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA411,2,E9,E9,E9_2,,,
F1_2,H_02,M,2,52,5/5/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA577,2,F1,F1,F1_2,,,
F10_2,P_1B_2,M,1B,133,1/31/22,9/20/21,SpinalCord,NA,3/13/23,2,JC,RNA428,2,F10,F10,F10_2,,,
F11_2,D12,M,2,134,7/26/22,3/14/22,SpinalCord,NA,3/13/23,2,EC,RNA444,2,F11,F11,F11_2,,,
F12_2,P_1A_8,F,1A,75,11/22/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA461,2,F12,F12,F12_2,,,
F13_2,E02,F,2,78,5/31/22,3/14/22,Heart,NA,3/3/23,1,EC,R192,2,F13,F13,F13_2,,,
F14_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Heart,NA,3/3/23,1,JC,R208,2,F14,F14,F14_2,,,
F15_2,J05,F,2,102,6/24/22,3/14/22,Heart,NA,3/3/23,2,EC,R224,2,F15,F15,F15_2,,,
F16_2,J_1A_17,M,1A,47,10/25/21,9/8/21,Heart,NA,3/3/23,2,EC,R240,2,F16,F16,F16_2,,,
F17_2,B01,M,2,134,7/26/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA302,2,F17,F17,F17_2,,,
F18_2,P_1B_1,F,1B,77,12/6/21,9/20/21,Spleen,NA,3/6/23,1,JC,RNA318,2,F18,F18,F18_2,,,
F19_2,E_01,M,2,52,5/5/22,3/14/22,Spleen,NA,3/6/23,2,EC,RNA334,2,F19,F19,F19_2,,,
F2_2,J-1B-6,F,1B,133,1/31/22,9/20/21,Bone,4/26/23,4/22/23,2,EC,RNA595,2,F2,F2,F2_2,,,
F20_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Spleen,NA,3/6/23,2,EC,RNA350,2,F20,F20,F20_2,,,
F21_2,B01,M,2,134,7/26/22,3/14/22,Brain,NA,1/31/23,1,IG,R28,2,F21,F21,F21_2,,,
F22_2,J_1A_17,M,1A,47,10/25/21,9/8/21,Brain,NA,1/31/23,1,EC,R44,2,F22,F22,F22_2,,,
F23_2,J_1A_24,F,1A,47,10/25/21,9/8/21,Brain,NA,2/1/23,2,EC,R60,2,F23,F23,F23_2,,,
F24_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Brain,NA,2/1/23,2,IG,R76,2,F24,F24,F24_2,,,
F3_2,P_1B_4,F,1B,147,2/14/22,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA611,2,F3,F3,F3_2,,,
F5_2,A01,M,2,78,5/31/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA522,2,F5,F5,F5_2,,,
F6_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Fat,4/12/23,4/17/23,2,EC,RNA538,2,F6,F6,F6_2,,,
F7_2,J_1A_22,M,1A,47,10/25/21,9/8/21,Fat,4/12/23,4/19/23,3,EC,RNA554,2,F7,F7,F7_2,,,
F9_2,F05,M,2,102,6/24/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA412,2,F9,F9,F9_2,,,
G1_2,E02,F,2,78,5/31/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA578,2,G1,G1,G1_2,,,
G10_2,P_1B_1,F,1B,77,12/6/21,9/20/21,SpinalCord,NA,3/13/23,2,JC,RNA429,2,G10,G10,G10_2,,,
G11_2,J_1B_11,M,1B,161,2/28/22,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA445,2,G11,G11,G11_2,,,
G13_2,H_02,M,2,52,5/5/22,3/14/22,Heart,NA,3/3/23,1,EC,R193,2,G13,G13,G13_2,,,
G14_2,P_1B_3,F,1B,77,12/6/21,9/20/21,Heart,NA,3/3/23,1,JC,R209,2,G14,G14,G14_2,,,
G15_2,I_03,M,2,162,8/23/22,3/14/22,Heart,NA,3/3/23,2,EC,R225,2,G15,G15,G15_2,,,
G16_2,J_1B_2,M,1B,49,11/8/21,9/20/21,Heart,NA,3/3/23,2,EC,R241,2,G16,G16,G16_2,,,
G17_2,F05,M,2,102,6/24/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA303,2,G17,G17,G17_2,,,
G18_2,J_1B_13,M,1B,77,12/6/21,9/20/21,Spleen,NA,3/6/23,1,JC,RNA319,2,G18,G18,G18_2,,,
G19_2,J-1B-18,F,1B,133,1/31/22,9/20/21,Spleen,NA,3/6/23,2,EC,RNA335,2,G19,G19,G19_2,,,
G2_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Bone,4/26/23,4/22/23,2,EC,RNA596,2,G2,G2,G2_2,,,
G20_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Spleen,NA,3/6/23,2,EC,RNA351,2,G20,G20,G20_2,,,
G21_2,A01,M,2,78,5/31/22,3/14/22,Brain,NA,1/31/23,1,IG,R29,2,G21,G21,G21_2,,,
G22_2,P_1A_1,F,1A,47,10/25/21,9/8/21,Brain,NA,1/31/23,1,EC,R45,2,G22,G22,G22_2,,,
G23_2,J_1A_14,M,1A,75,11/22/21,9/8/21,Brain,NA,2/1/23,2,EC,R61,2,G23,G23,G23_2,,,
G24_2,P_1B_4,F,1B,147,2/14/22,9/20/21,Brain,NA,2/1/23,2,IG,R77,2,G24,G24,G24_2,,,
G3_2,J_1B_5,F,1B,49,11/8/21,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA612,2,G3,G3,G3_2,,,
G5_2,I_03,M,2,162,8/23/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA523,2,G5,G5,G5_2,,,
