Sample	Unassigned_NoFeatures	Unassigned_Chimera	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_FragmentLength	Total	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_NonSplit	Assigned	percent_assigned	Unassigned_Overlapping_Length	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_MappingQuality
F13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4213208	0	92788	0	0	19663908	0	0	0	0	15357912	78.10203343099448	0	0	0	0
F14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2580171	0	66721	0	0	13468801	0	0	0	0	10821909	80.3479760373622	0	0	0	0
F15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	5196830	0	96094	0	0	20341040	0	0	0	0	15048116	73.97908858150812	0	0	0	0
F16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1214664	0	37367	0	0	9221090	0	0	0	0	7969059	86.42209326663118	0	0	0	0
F17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3956851	0	118809	0	0	18635931	0	0	0	0	14560271	78.1300971762559	0	0	0	0
F18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3244268	0	85183	0	0	16095031	0	0	0	0	12765580	79.31379566774368	0	0	0	0
F19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3401044	0	84243	0	0	15200116	0	0	0	0	11714829	77.07065525026256	0	0	0	0
F1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2606494	0	59026	0	0	16218242	0	0	0	0	13552722	83.56467982164774	0	0	0	0
F20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2168025	0	58662	0	0	12081531	0	0	0	0	9854844	81.56949644875307	0	0	0	0
F23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3597846	0	144969	0	0	25683882	0	0	0	0	21941067	85.42737815101316	0	0	0	0
F24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2077544	0	65316	0	0	14979583	0	0	0	0	12836723	85.69479537581253	0	0	0	0
F2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2102643	0	45851	0	0	12228692	0	0	0	0	10080198	82.43071294951251	0	0	0	0
F3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2978831	0	62934	0	0	17436874	0	0	0	0	14395109	82.5555601307895	0	0	0	0
F4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2125837	0	45151	0	0	13303484	0	0	0	0	11132496	83.68105678181746	0	0	0	0
F5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2004016	0	50339	0	0	13054021	0	0	0	0	10999666	84.26266512057855	0	0	0	0
F6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2013623	0	70870	0	0	14927111	0	0	0	0	12842618	86.03552288182222	0	0	0	0
F7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1975621	0	49137	0	0	14013894	0	0	0	0	11989136	85.55178168180807	0	0	0	0
F8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2068087	0	54697	0	0	13690471	0	0	0	0	11567687	84.49444142571866	0	0	0	0
F9_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3808637	0	95997	0	0	20856329	0	0	0	0	16951695	81.27842152854416	0	0	0	0
G10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3574846	0	88168	0	0	17762813	0	0	0	0	14099799	79.37818745262926	0	0	0	0
G11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3182277	0	64961	0	0	13965438	0	0	0	0	10718200	76.74804041233794	0	0	0	0
G12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3649313	0	84836	0	0	18051135	0	0	0	0	14316986	79.31349469160803	0	0	0	0
G13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2157632	0	61899	0	0	13862484	0	0	0	0	11642953	83.98893733619458	0	0	0	0
G14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3664895	0	78823	0	0	19123836	0	0	0	0	15380118	80.42381246105646	0	0	0	0
G15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1942398	0	59079	0	0	14785652	0	0	0	0	12784175	86.46338355589594	0	0	0	0
G16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2964348	0	59281	0	0	15467887	0	0	0	0	12444258	80.45221690590317	0	0	0	0
G17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3465871	0	89998	0	0	16361054	0	0	0	0	12805185	78.26625961872628	0	0	0	0
G18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3176860	0	95097	0	0	14712817	0	0	0	0	11440860	77.7611792493579	0	0	0	0
G19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3708093	0	110776	0	0	16777454	0	0	0	0	12958585	77.23808987942986	0	0	0	0
G1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2772637	0	63416	0	0	17251957	0	0	0	0	14415904	83.56097803860744	0	0	0	0
G20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2976994	0	78068	0	0	12439694	0	0	0	0	9384632	75.44101969067728	0	0	0	0
G21_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3153183	0	111594	0	0	18108637	0	0	0	0	14843860	81.97116105425273	0	0	0	0
G23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3179769	0	97520	0	0	21955696	0	0	0	0	18678407	85.07317190035788	0	0	0	0
G24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2576657	0	91805	0	0	16192924	0	0	0	0	13524462	83.5208144001664	0	0	0	0
G2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1931917	0	43077	0	0	13087264	0	0	0	0	11112270	84.90903828332644	0	0	0	0
G3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2558526	0	58070	0	0	16463709	0	0	0	0	13847113	84.10688624294805	0	0	0	0
G4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1793448	0	42300	0	0	12259246	0	0	0	0	10423498	85.02560434793462	0	0	0	0
G5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1181864	0	53476	0	0	16362495	0	0	0	0	15127155	92.45017339959463	0	0	0	0
G6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1144726	0	48687	0	0	14471154	0	0	0	0	13277741	91.75315942322223	0	0	0	0
G7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1551849	0	46074	0	0	13269681	0	0	0	0	11671758	87.95809032636127	0	0	0	0
G8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1931910	0	53388	0	0	14453432	0	0	0	0	12468134	86.26417587186212	0	0	0	0
